165 17 1 142;8
794 62 2 667 732;10
425 27 2 367 399;13
934 323 1 757;2
569 137 1 553;3
120 24 1 93;3
33 5 0;5
827 12 1 816;67
548 86 3 198 454 541;3
823 251 1 677;2
22 2 2 9 11;3
470 174 3 33 259 452;0
16 3 2 6 10;0
802 37 3 206 413 778;17
801 226 2 330 698;1
789 162 2 369 644;2
628 77 1 582;7
593 246 1 524;2
641 219 2 120 547;0
47 5 0;8
778 66 4 365 523 648 721;6
841 410 1 464;1
151 4 2 6 144;33
200 64 1 161;2
747 41 4 452 637 690 738;13
468 22 4 203 237 420 449;15
403 146 2 33 257;0
915 388 1 877;2
622 45 2 364 613;11
835 125 1 113;5
